MPSP ($/kg),yield (g/g),titer (g/L)
3.20,0.20,199.71
3.20,0.20,104.38
3.20,0.25,51.10
3.20,0.33,25.47
3.20,0.50,10.21
2.60,0.24,199.71
2.60,0.26,104.67
2.60,0.31,51.39
2.60,0.38,22.02
2.60,0.58,10.50
2.10,0.30,200.00
2.10,0.32,104.10
2.10,0.36,52.26
2.10,0.41,26.34
2.10,0.60,15.97
2.10,0.73,9.92
1.60,0.36,199.14
1.60,0.38,101.50
1.60,0.40,70.69
1.60,0.42,51.10
1.60,0.56,25.76
1.60,0.94,10.78
1.10,0.49,200.29
1.10,0.53,101.22
1.10,0.60,50.82
1.10,0.79,25.76
1.10,1.00,19.14
0.60,0.85,200.29
0.60,0.87,149.02
0.60,0.93,99.78
0.60,1.00,75.87
